2463 0xe99f []	Etr Θ4 (ab 4. Jh.)  [= Raet Θ1] 24

2464 0xe9a0 []	Etr I1  [= Lep I1 = Raet I1 = Run I1] 25
2465 0xe9a1 []	Etr I2 sin  [= Lep I2 dex (0)] 26
2466 0xe9a2 []	Etr I2 dex  [= Lep I2 sin] 27
2467 0xe9a3 []	Etr K1  [= Lep K1 sin = Raet K1 sin] 28
2468 0xe9a4 []	Etr K2  (Buffa 4)  [= Lep K2 sin] 29
2469 0xe9a5 []	Etr L1  [= Lep L1 sin = Raet L2 sin] 30
2470 0xe9a6 []	Etr M1  [= Lep M1 sin] 31
2471 0xe9a7 []	Etr N1  [= Lep N1 sin = Raet N1 sin] 32
2472 0xe9a8 []	Etr N2 (Buffa 163)  [= Lep N4 sin] 33
2473 0xe9a9 []	Etr P1  [= Lep P1 sin....] 34
2474 0xe9aa []	Etr San1 [Lat M1 = Lep M5 = San2] 35
2475 0xe9ab []	Etr Q1 36
2476 0xe9ac []	Etr R1  [= Raet P1 sin] 37
2477 0xe9ad []	Etr R2 (bis 4. Jh.)  [= Lep Q1 sin] 38
2478 0xe9ae []	Etr R3 (ab 4. Jh.)  [= Lep R1 sin] 39
2479 0xe9af []	Etr R4 (Mäder 2020)  [=Lep R3 sin = Ven] 40
2480 0xe9b0 []	Etr R5 (Mäder 2019) 41 
2481 0xe9b1 []	Etr S1 (bis 4. Jh.)  [Lep S1 dex = Raet S1 sin] 42
2482 0xe9b2 []	Etr S2 (ab 4. Jh.)  [Lep S6 sin] 43
2483 0xe9b3 []	Etr S3 (Buffa 4) (ab 4. Jh.)  [Lep S6 dex] 44
2484 0xe9b4 []	Etr S4 (Buffa 6) (ab 4. Jh.) 45
2485 0xe9b5 []	Etr T1 (bis 4. Jh.)  [= Lep T2] 46
2486 0xe9b6 []	Etr T2 (ab 4. Jh.) [= Lep T5 dex] 47
2487 0xe9b7 []	Etr T3 (ab 4. Jh.) [= Raet T1 sin] 48
2488 0xe9b8 []	Etr T4 49
2489 0xe9b9 []	Etr T5 (Buffa 163)  [= Raet T2 dex] 50
2490 0xe9ba []	Etr T6 (Buffa 15)  [= Lep X4 = Raet X1] 51
2491 0xe9bb []	Etr U1 [= Raet U2 = Lep U1] 52
2492 0xe9bc []	Etr U2 (Buffa 6)  [= Lep U4] 53
2493 0xe9bd []	Etr U3 (Buffa 163)  [= Lep U5] 54
2494 0xe9be []	Etr X1 (bis 4. Jh.)  [= Raet X1 = Etr T6 = Lep X4] 55
2495 0xe9bf []	Etr X2 (Buffa 4) [= Lep X2] 56

2496 0xe9c0 []	Etr X3 (ab 4. Jh.) [= Lep X1 = Raet X3] 57
2497 0xe9c1 []	Etr F1 58
2498 0xe9c2 []	Etr F2 (bis 4. Jh.) 59
2499 0xe9c3 []	Etr <ten> (Buffa 3)  [= Raet <ten> = Lep T1 = Raet Θ1] 60
2500 0xe9c4 []	Etr <fifty> (Buffa 3)  [= Lep T6] 61
2501 0xe9c5 []	EtrVen A7 62
2502 0xe9c6 []	EtrVen B1 63
2503 0xe9c7 []	EtrVen B2 64
2504 0xe9c8 []	 EtrVen D1 65
2505 0xe9c9 []	EtrVen D2 66
2506 0xe9ca []	EtrVen G1  [=Raet X1 = Lep X4] 67
2507 0xe9cb []	EtrVen G2  [= Raet X3 = Raet <fifty> = Lep X1] 68
2508 0xe9cc []	EtrVen H5  [=Raet H4] 69
2509 0xe9cd []	EtrVen H6 70
2510 0xe9ce []	EtrVen H7 71
2511 0xe9cf []	EtrVen J1  [= Lep E7  = Lat. E2 = Run E3] 72
2512 0xe9d0 []	EtrVen J2  [= Lep K2 sin] 73
2513 0xe9d1 []	EtrVen J3  [= Etr C2 = Lep U11 sin = Run K1] 74
2514 0xe9d2 []	EtrVen J4 75
2515 0xe9d3 []	EtrVen L2  [= ... 76
2516 0xe9d4 []	EtrVen L3  [= ... 77
2517 0xe9d5 []	EtrVen L4  [= LatGraff L1 sin] 78
2518 0xe9d6 []	EtrVen M2  [= Lep M4 sin] 79
2519 0xe9d7 []	EtrVen P2 sin  [= Raet P5 sin] 80
2520 0xe9d8 []	EtrVen P2 dex  [= Raet P5 dex] 81
2521 0xe9d9 []	EtrVen San2 82
2522 0xe9da []	EtrVen San3 sin  [= Lep T5 sin = Lep U6 sin = Run K5 sin = Lep T5 sin = ] 			83
2523 0xe9db []	EtrVen San3 dex [= Lep T5 sin = Lep U6 sin = Run K5 sin = Lep T5 sin = ] 			84
2524 0xe9dc []	EtrVen T5  [= EtrVen B1] 85
2525 0xe9dd []	EtrVen T6  [= EtrVen B2] 86
2526 0xe9de []	EtrVen O1 87
2527 0xe9df []	EtrVen O2 88

2528 0xe9e0 []	EtrVen O3 89
2529 0xe9e1 []	EtrVen F3 sin 90
2530 0xe9e2 []	EtrVen F3 dex 91
2531 0xe9e3 []	EtrVen F4 sin 92
2532 0xe9e4 []	EtrVen F4 dex 93
2533 0xe9e5 []	EtrVen F5 sin 94
2534 0xe9e6 []	EtrVen F5 dex 95
2535 0xe9e7 []	EtrVen F6 96
